file_name,text
FPTOpenSpeechData_Set001_V0.1_005742.mp3,ở chợ đồ cũ à
FPTOpenSpeechData_Set001_V0.1_009370.mp3,cô ấy đã bị ói
FPTOpenSpeechData_Set001_V0.1_006731.mp3,cô ấy là thư ký
FPTOpenSpeechData_Set001_V0.1_012887.mp3,đồ sứ bán ở đâu
FPTOpenSpeechData_Set001_V0.1_010339.mp3,đổi nó ra đô la
FPTOpenSpeechData_Set001_V0.1_002378.mp3,sự đam mê ở bạn
FPTOpenSpeechData_Set001_V0.1_013959.mp3,nó xảy ra ở đâu
FPTOpenSpeechData_Set001_V0.1_011711.mp3,sự đam mê ở bạn
FPTOpenSpeechData_Set001_V0.1_005413.mp3,x này đấu với y
FPTOpenSpeechData_Set001_V0.1_011256.mp3,hồ sơ nộp ở đâu
FPTOpenSpeechData_Set001_V0.1_003193.mp3,ồ lọ khom đấy à
FPTOpenSpeechData_Set001_V0.1_001478.mp3,x này đấu với y
FPTOpenSpeechData_Set001_V0.1_009304.mp3,tất cả sẽ là bốn
FPTOpenSpeechData_Set001_V0.1_004582.mp3,ai lấy ly đi vậy
FPTOpenSpeechData_Set001_V0.1_007975.mp3,có lẽ nó quá nhỏ
FPTOpenSpeechData_Set001_V0.1_000076.mp3,tôi sẽ ở lại đây
FPTOpenSpeechData_Set001_V0.1_010579.mp3,đó là một tên lạ
FPTOpenSpeechData_Set001_V0.1_013336.mp3,lốp xe có vẻ mềm
FPTOpenSpeechData_Set001_V0.1_003094.mp3,-N cửa sổ bị kẹt
FPTOpenSpeechData_Set001_V0.1_006043.mp3,ở đây có hai tao
FPTOpenSpeechData_Set001_V0.1_008361.mp3,ồ đây là nước mỹ
FPTOpenSpeechData_Set001_V0.1_011823.mp3,tòa án ở gần đây
FPTOpenSpeechData_Set001_V0.1_002823.mp3,cô ấy bị mẻ răng
FPTOpenSpeechData_Set001_V0.1_004146.mp3,cô ấy bị mẻ răng
FPTOpenSpeechData_Set001_V0.1_000769.mp3,cái gì ở góc phố
FPTOpenSpeechData_Set001_V0.1_005106.mp3,có lẽ nó quá nhỏ
FPTOpenSpeechData_Set001_V0.1_006370.mp3,tất cả sẽ là bốn
FPTOpenSpeechData_Set001_V0.1_012455.mp3,mỹ anh ở một đầu
FPTOpenSpeechData_Set001_V0.1_008919.mp3,đã trễ thế rồi à
FPTOpenSpeechData_Set001_V0.1_005425.mp3,cô ấy bị rắn cắn
FPTOpenSpeechData_Set001_V0.1_010118.mp3,ai lấy ly đi vậy
FPTOpenSpeechData_Set001_V0.1_014039.mp3,khóa đã bị vỡ ra
FPTOpenSpeechData_Set001_V0.1_005263.mp3,lốp xe có vẻ mềm
FPTOpenSpeechData_Set001_V0.1_002366.mp3,bắt lấy hắn đi ạ
FPTOpenSpeechData_Set001_V0.1_002198.mp3,anh đã lên ở đâu
FPTOpenSpeechData_Set002_V0.1_000253.mp3,-N Ăn cơm mầm đá
FPTOpenSpeechData_Set001_V0.1_001761.mp3,họ của anh là gì
FPTOpenSpeechData_Set001_V0.1_005385.mp3,cái va li bị bẹp
FPTOpenSpeechData_Set001_V0.1_002847.mp3,đã trễ thế rồi à
FPTOpenSpeechData_Set001_V0.1_005838.mp3,anh đã lên ở đâu
FPTOpenSpeechData_Set001_V0.1_010826.mp3,cô ấy bị mẻ răng
